route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
22390,CMBC,002,MACDONALD-16TH AVE/BURRARD STN    , ,3,http://infomaps.translink.ca/Public_Timetables/94/tt002.pdf, , 
22391,CMBC,003,MAIN/DOWNTOWN                  , ,3,http://infomaps.translink.ca/Public_Timetables/94/tt003.pdf, , 
22392,CMBC,004,POWELL/DOWNTOWN/UBC, ,3,http://infomaps.translink.ca/Public_Timetables/94/tt004.pdf, , 
22393,CMBC,005,ROBSON/DOWNTOWN                , ,3,http://infomaps.translink.ca/Public_Timetables/94/tt005.pdf, , 
22394,CMBC,006,DAVIE/DOWNTOWN                 , ,3,http://infomaps.translink.ca/Public_Timetables/94/tt006.pdf, , 
22395,CMBC,007,NANAIMO STN/DUNBAR             , ,3,http://infomaps.translink.ca/Public_Timetables/94/tt007.pdf, , 
22396,CMBC,008,FRASER/DOWNTOWN               , ,3,http://infomaps.translink.ca/Public_Timetables/94/tt008.pdf, , 
22397,CMBC,009,BDRY/COMM-BWY/GRAN/ALMA/UBC  , ,3,http://infomaps.translink.ca/Public_Timetables/94/tt009.pdf, , 
22398,CMBC,010,GRANVILLE/DOWNTOWN          , ,3,http://infomaps.translink.ca/Public_Timetables/94/tt010.pdf, , 
22399,CMBC,014,HASTINGS/UBC, ,3,http://infomaps.translink.ca/Public_Timetables/94/tt014.pdf, , 
22400,CMBC,015,CAMBIE/OLYMPIC VILLAGE STN        , ,3,http://infomaps.translink.ca/Public_Timetables/94/tt015.pdf, , 
22401,CMBC,016,29TH AVENUE STN/ARBUTUS        , ,3,http://infomaps.translink.ca/Public_Timetables/94/tt016.pdf, , 
22402,CMBC,017,OAK/DOWNTOWN                   , ,3,http://infomaps.translink.ca/Public_Timetables/94/tt017.pdf, , 
22403,CMBC,019,METROTOWN STN/STANLEY PARK         , ,3,http://infomaps.translink.ca/Public_Timetables/94/tt019.pdf, , 
22404,CMBC,020,VICTORIA/DOWNTOWN              , ,3,http://infomaps.translink.ca/Public_Timetables/94/tt020.pdf, , 
22405,CMBC,022,KNIGHT/MACDONALD               , ,3,http://infomaps.translink.ca/Public_Timetables/94/tt022.pdf, , 
22406,CMBC,025,BRENTWOOD STN/UBC             , ,3,http://infomaps.translink.ca/Public_Timetables/94/tt025.pdf, , 
22407,CMBC,026,JOYCE STN/29TH AVENUE STN  , ,3,http://infomaps.translink.ca/Public_Timetables/94/tt026.pdf, , 
22408,CMBC,027,KOOTENAY LOOP/JOYCE STN        , ,3,http://infomaps.translink.ca/Public_Timetables/94/tt027.pdf, , 
22409,CMBC,028,CAP UNIVERSIT/PHIBBS EXCH/JOYCE STN, ,3,http://infomaps.translink.ca/Public_Timetables/94/tt028.pdf, , 
22410,CMBC,029,ELLIOTT/29TH AVENUE STN  , ,3,http://infomaps.translink.ca/Public_Timetables/94/tt029.pdf, , 
22411,CMBC,032,DUNBAR/DOWNTOWN                , ,3,http://infomaps.translink.ca/Public_Timetables/94/tt032.pdf, , 
22412,CMBC,033,29 AVE STN/ UBC, ,3,http://infomaps.translink.ca/Public_Timetables/94/tt033.pdf, , 
22413,CMBC,041,JOYCE STN/CROWN/UBC           , ,3,http://infomaps.translink.ca/Public_Timetables/94/tt041.pdf, , 
22414,CMBC,043,JOYCE STN/UBC, ,3,http://infomaps.translink.ca/Public_Timetables/94/tt043.pdf, , 
22415,CMBC,044,UBC/DOWNTOWN                    , ,3,http://infomaps.translink.ca/Public_Timetables/94/tt044.pdf, , 
22416,CMBC,049,METROTOWN STN/DUNBAR LOOP/UBC   , ,3,http://infomaps.translink.ca/Public_Timetables/94/tt049.pdf, , 
22417,CMBC,050,WATERFRONT STN/FALSE CREEK SOUTH, ,3,http://infomaps.translink.ca/Public_Timetables/94/tt050.pdf, , 
22418,CMBC,084,UBC/VCC STATION, ,3,http://infomaps.translink.ca/Public_Timetables/94/tt084.pdf, , 
22419,CMBC,096,GUILDFORD EX/ NEWTON EX (B-LINE), ,3,http://infomaps.translink.ca/Public_Timetables/94/tt096.pdf, , 
22420,CMBC,097,COQUITLAM STN/LOUGHEED STN (B-LINE), ,3,http://infomaps.translink.ca/Public_Timetables/94/tt097.pdf, , 
22421,CMBC,099,COMMERCIAL-BROADWAY/UBC (B-LINE)  , ,3,http://infomaps.translink.ca/Public_Timetables/94/tt099.pdf, , 
22422,CMBC,100,22ND ST STN/MARPOLE LOOP , ,3,http://infomaps.translink.ca/Public_Timetables/94/tt100.pdf, , 
22423,CMBC,101,LOUGHEED STN/22ND ST STN      , ,3,http://infomaps.translink.ca/Public_Timetables/94/tt101.pdf, , 
22424,CMBC,104,22ND ST STN/ANNACIS ISLAND, ,3,http://infomaps.translink.ca/Public_Timetables/94/tt104.pdf, , 
22425,CMBC,106,NEW WESTMINSTER STN/METROTOWN STN, ,3,http://infomaps.translink.ca/Public_Timetables/94/tt106.pdf, , 
22426,CMBC,110,LOUGHEED STN/METROTOWN STN, ,3,http://infomaps.translink.ca/Public_Timetables/94/tt110.pdf, , 
22427,CMBC,112,EDMONDS STN/NEW WEST STN       , ,3,http://infomaps.translink.ca/Public_Timetables/94/tt112.pdf, , 
22428,CMBC,116,EDMONDS STN/METROTOWN STN, ,3,http://infomaps.translink.ca/Public_Timetables/94/tt116.pdf, , 
22429,CMBC,123,NEW WEST STN/BRENTWOOD STN , ,3,http://infomaps.translink.ca/Public_Timetables/94/tt123.pdf, , 
22430,CMBC,125,PATTERSON STN/BCIT, ,3,http://infomaps.translink.ca/Public_Timetables/94/tt125.pdf, , 
22431,CMBC,128,BRAID STN/22ND STREET STN, ,3,http://infomaps.translink.ca/Public_Timetables/94/tt128.pdf, , 
22432,CMBC,129,METROTOWN STN/EDMONDS STN , ,3,http://infomaps.translink.ca/Public_Timetables/94/tt129.pdf, , 
22433,CMBC,130,METROTOWN/HASTINGS/KOOTENAY/CAP U, ,3,http://infomaps.translink.ca/Public_Timetables/94/tt130.pdf, , 
22434,CMBC,134,LAKE CITY STN/BRENTWOOD STN   , ,3,http://infomaps.translink.ca/Public_Timetables/94/tt134.pdf, , 
22435,CMBC,135,SFU/BURRARD STN, ,3,http://infomaps.translink.ca/Public_Timetables/94/tt135.pdf, , 
22436,CMBC,136,LOUGHEED STN/BRENTWOOD STN, ,3,http://infomaps.translink.ca/Public_Timetables/94/tt136.pdf, , 
22437,CMBC,143,COQUITLAM STN/SFU              , ,3,http://infomaps.translink.ca/Public_Timetables/94/tt143.pdf, , 
22438,CMBC,144,SFU/METROTOWN STN              , ,3,http://infomaps.translink.ca/Public_Timetables/94/tt144.pdf, , 
22439,CMBC,145,SFU/PRODUCTION STN, ,3,http://infomaps.translink.ca/Public_Timetables/94/tt145.pdf, , 
22440,CMBC,150,WHITE PINE BEACH/COQUITLAM STN, ,3,http://infomaps.translink.ca/Public_Timetables/94/tt150.pdf, , 
22441,CMBC,151,COQUITLAM STN/LOUGHEED STN        , ,3,http://infomaps.translink.ca/Public_Timetables/94/tt151.pdf, , 
22442,CMBC,152,COQUITLAM STN/LOUGHEED STN, ,3,http://infomaps.translink.ca/Public_Timetables/94/tt152.pdf, , 
22443,CMBC,153,COQUITLAM REC CTR/BRAID STN, ,3,http://infomaps.translink.ca/Public_Timetables/94/tt153.pdf, , 
22444,CMBC,155,BRAID STN/22ND STREET  STN        , ,3,http://infomaps.translink.ca/Public_Timetables/94/tt155.pdf, , 
22445,CMBC,156,BRAID STN/LOUGHEED STN, ,3,http://infomaps.translink.ca/Public_Timetables/94/tt156.pdf, , 
22446,CMBC,157,COQUITLAM REC CENTRE/LOUGHEED STN, ,3,http://infomaps.translink.ca/Public_Timetables/94/tt157.pdf, , 
22447,CMBC,159,PORT COQUITLAM STN/BRAID STN, ,3,http://infomaps.translink.ca/Public_Timetables/94/tt159.pdf, , 
22448,CMBC,160,PORT COQUITLAM STN/VANCOUVER, ,3,http://infomaps.translink.ca/Public_Timetables/94/tt160.pdf, , 
22449,CMBC,169,COQUITLAM STN/BRAID STN     , ,3,http://infomaps.translink.ca/Public_Timetables/94/tt169.pdf, , 
22450,CMBC,177,COQUITLAM STN/BRAID STN, ,3,http://infomaps.translink.ca/Public_Timetables/94/tt177.pdf, , 
22637,CMBC,178,COQUITLAM STN/PORT MOODY STN, ,3,http://infomaps.translink.ca/Public_Timetables/94/tt178.pdf, , 
22451,CMBC,179,COQUITLAM STN/JOHNSON, ,3,http://infomaps.translink.ca/Public_Timetables/94/tt179.pdf, , 
22638,CMBC,188,COQUITLAM STN/PORT COQUITLAM STN, ,3,http://infomaps.translink.ca/Public_Timetables/94/tt188.pdf, , 
22452,CMBC,189,COQUITLAM STN/COAST MERIDIAN, ,3,http://infomaps.translink.ca/Public_Timetables/94/tt189.pdf, , 
22453,CMBC,190,COQUITLAM STN/VANCOUVER        , ,3,http://infomaps.translink.ca/Public_Timetables/94/tt190.pdf, , 
22454,CMBC,209,UPPER LYNN VALLEY/VANCOUVER, ,3,http://infomaps.translink.ca/Public_Timetables/94/tt209.pdf, , 
22455,CMBC,210,UPPER LYNN VALLEY/VANCOUVER    , ,3,http://infomaps.translink.ca/Public_Timetables/94/tt210.pdf, , 
22456,CMBC,211,SEYMOUR/PHIBBS EXCH/VANCOUVER, ,3,http://infomaps.translink.ca/Public_Timetables/94/tt211.pdf, , 
22457,CMBC,212,DEEP COVE/PHIBBS EXCH     , ,3,http://infomaps.translink.ca/Public_Timetables/94/tt212.pdf, , 
22458,CMBC,214,BLUERIDGE/PHIBBS EXCH/VANCOUVER  , ,3,http://infomaps.translink.ca/Public_Timetables/94/tt214.pdf, , 
22639,CMBC,227,LYNN VALLEY CENTRE/PHIBBS EXCHANGE, ,3,http://infomaps.translink.ca/Public_Timetables/94/tt227.pdf, , 
22459,CMBC,228,LYNN VALLEY/LONSDALE QUAY      , ,3,http://infomaps.translink.ca/Public_Timetables/94/tt228.pdf, , 
22460,CMBC,229,LYNN VALLEY CENTRE/LONSDALE QUAY, ,3,http://infomaps.translink.ca/Public_Timetables/94/tt229.pdf, , 
22461,CMBC,230,UPPER LONSDALE/LONSDALE QUAY   , ,3,http://infomaps.translink.ca/Public_Timetables/94/tt230.pdf, , 
22462,CMBC,231,HARBOURSIDE/LONSDALE QUAY, ,3,http://infomaps.translink.ca/Public_Timetables/94/tt231.pdf, , 
22463,CMBC,232,GROUSE MOUNTAIN/PHIBBS EXCH, ,3,http://infomaps.translink.ca/Public_Timetables/94/tt232.pdf, , 
22464,CMBC,236,GROUSE MOUNTAIN/LONSDALE QUAY, ,3,http://infomaps.translink.ca/Public_Timetables/94/tt236.pdf, , 
22465,CMBC,239,CAPILANO UNIVERSITY/PARK ROYAL    , ,3,http://infomaps.translink.ca/Public_Timetables/94/tt239.pdf, , 
22466,CMBC,240,15TH STREET/VANCOUVER          , ,3,http://infomaps.translink.ca/Public_Timetables/94/tt240.pdf, , 
22467,CMBC,241,UPPER LONSDALE/VANCOUVER       , ,3,http://infomaps.translink.ca/Public_Timetables/94/tt241.pdf, , 
22468,CMBC,242,UPPER LONSDALE/VANCOUVER       , ,3,http://infomaps.translink.ca/Public_Timetables/94/tt242.pdf, , 
22469,CMBC,246,LONSDALE QUAY/HIGHLAND/VANCOUVER, ,3,http://infomaps.translink.ca/Public_Timetables/94/tt246.pdf, , 
22470,CMBC,247,UPPER CAPILANO/GROUSE/VANCOUVER, ,3,http://infomaps.translink.ca/Public_Timetables/94/tt247.pdf, , 
22471,CMBC,250,HORSESHOE BAY/DUNDARAVE/VANCOUVER, ,3,http://www.westvancouver.ca/Residents/Level3.aspx?id=2152, , 
22472,CMBC,251,QUEENS/VANCOUVER/PARK ROYAL, ,3,http://www.westvancouver.ca/Residents/Level3.aspx?id=2152, , 
22473,CMBC,252,INGLEWOOD/VANCOUVER/PARK ROYAL, ,3,http://www.westvancouver.ca/Residents/Level3.aspx?id=2152, , 
22474,CMBC,253,CAULFEILD/VANCOUVER/PARK ROYAL, ,3,http://www.westvancouver.ca/Residents/Level3.aspx?id=2152, , 
22475,CMBC,254,BRITISH PROPERTIES/PARK ROYAL/VAN, ,3,http://www.westvancouver.ca/Residents/Level3.aspx?id=2152, , 
22476,CMBC,255,DUNDARAVE/CAPILANO UNIVERSITY    , ,3,http://www.westvancouver.ca/Residents/Level3.aspx?id=2152, , 
22477,CMBC,256,FOLKSTONE WY/WHITBY ESTATE/SPURAWAY, ,3,http://www.westvancouver.ca/Residents/Level3.aspx?id=2152, , 
22478,CMBC,257,HORSESHOE BAY/VANCOUVER EXPRESS, ,3,http://www.westvancouver.ca/Residents/Level3.aspx?id=2152, , 
22479,CMBC,258,UBC/WEST VANCOUVER             , ,3,http://www.westvancouver.ca/Residents/Level3.aspx?id=2152, , 
22480,CMBC,259,LIONS BAY/HORSESHOE BAY, ,3,http://www.westvancouver.ca/Residents/Level3.aspx?id=2152, , 
22481,CMBC,301,NEWTON EXCHANGE/BRIGHOUSE STATION, ,3,http://infomaps.translink.ca/Public_Timetables/94/tt301.pdf, , 
22482,CMBC,311,SCOTTSDALE/BRIDGEPORT STN      , ,3,http://infomaps.translink.ca/Public_Timetables/94/tt311.pdf, , 
22483,CMBC,312,SCOTTSDALE/SCOTT ROAD STN        , ,3,http://infomaps.translink.ca/Public_Timetables/94/tt312.pdf, , 
22484,CMBC,314,SURREY CENTRAL/SUNBURY, ,3,http://infomaps.translink.ca/Public_Timetables/94/tt314.pdf, , 
22485,CMBC,316,SURREY CENTRAL STN/SCOTTSDALE     , ,3,http://infomaps.translink.ca/Public_Timetables/94/tt316.pdf, , 
22486,CMBC,319,SCOTT ROAD STN/NEWTON EXCHA        , ,3,http://infomaps.translink.ca/Public_Timetables/94/tt319.pdf, , 
22487,CMBC,320,LANGLEY/FLEETWOOD/SURREY CTRL STN, ,3,http://infomaps.translink.ca/Public_Timetables/94/tt320.pdf, , 
22488,CMBC,321,WHITE ROCK/NEWTON/SURREY CTRL STN, ,3,http://infomaps.translink.ca/Public_Timetables/94/tt321.pdf, , 
22489,CMBC,323,NEWTON EXCH/SURREY CENTRAL STN, ,3,http://infomaps.translink.ca/Public_Timetables/94/tt323.pdf, , 
22490,CMBC,324,NEWTON EXCH/SURREY CENTRAL STN, ,3,http://infomaps.translink.ca/Public_Timetables/94/tt324.pdf, , 
22491,CMBC,325,NEWTON EXCH/SURREY CENTRAL STN, ,3,http://infomaps.translink.ca/Public_Timetables/94/tt325.pdf, , 
22492,CMBC,326,GUILDFORD/SURREY CENTRAL STN, ,3,http://infomaps.translink.ca/Public_Timetables/94/tt326.pdf, , 
22493,CMBC,329,SURREY CENTRAL STN/SCOTTSDALE     , ,3,http://infomaps.translink.ca/Public_Timetables/94/tt329.pdf, , 
22495,CMBC,335,NEWTON/SURREY CENTRAL STN      , ,3,http://infomaps.translink.ca/Public_Timetables/94/tt335.pdf, , 
22496,CMBC,337,FRASER HEIGHTS/GUILDFORD/SURREY CTR, ,3,http://infomaps.translink.ca/Public_Timetables/94/tt337.pdf, , 
22497,CMBC,340,SCOTTSDALE/22ND ST STN, ,3,http://infomaps.translink.ca/Public_Timetables/94/tt340.pdf, , 
22498,CMBC,341,GUILDFORD/LANGLEY CENTRE, ,3,http://infomaps.translink.ca/Public_Timetables/94/tt341.pdf, , 
22499,CMBC,345,KING GEORGE STN/WHITE ROCK CENTRE, ,3,http://infomaps.translink.ca/Public_Timetables/94/tt345.pdf, , 
22500,CMBC,351,CRESCENT BEACH/BRIDGEPORT STN     , ,3,http://infomaps.translink.ca/Public_Timetables/94/tt351.pdf, , 
22501,CMBC,352,OCEAN PARK /BRIDGEPORT STN       , ,3,http://infomaps.translink.ca/Public_Timetables/94/tt352.pdf, , 
22502,CMBC,354,WHITE ROCK SOUTH/BRIDGEPORT STATION, ,3,http://infomaps.translink.ca/Public_Timetables/94/tt354.pdf, , 
22503,CMBC,364,LANGLEY CTR/ SCOTTSDALE EX, ,3,http://infomaps.translink.ca/Public_Timetables/94/tt364.pdf, , 
22504,CMBC,375,WHITE ROCK/WHITE ROCK STH/GUILDFORD, ,3,http://infomaps.translink.ca/Public_Timetables/94/tt375.pdf, , 
22505,CMBC,388,22ST STN/CARVOLTH EXCH, ,3,http://infomaps.translink.ca/Public_Timetables/94/tt388.pdf, , 
22506,CMBC,391,SCOTTSDALE/SCOTT ROAD STN        , ,3,http://infomaps.translink.ca/Public_Timetables/94/tt391.pdf, , 
22507,CMBC,393,NEWTON EXCH/SURREY CENTRAL STN    , ,3,http://infomaps.translink.ca/Public_Timetables/94/tt393.pdf, , 
22508,CMBC,394,WHITE ROCK/KING GEORGE STN EXPRESS , ,3,http://infomaps.translink.ca/Public_Timetables/94/tt394.pdf, , 
22509,CMBC,395,WILLOWBROOK/KING GEORGE STN, ,3,http://infomaps.translink.ca/Public_Timetables/94/tt395.pdf, , 
22510,CMBC,401,ONE ROAD/GARDEN CITY             , ,3,http://infomaps.translink.ca/Public_Timetables/94/tt401.pdf, , 
22511,CMBC,402,TWO ROAD/BRIGHOUSE STATION     , ,3,http://infomaps.translink.ca/Public_Timetables/94/tt402.pdf, , 
22512,CMBC,403,BRIDGEPORT STN/THREE ROAD, ,3,http://infomaps.translink.ca/Public_Timetables/94/tt403.pdf, , 
22513,CMBC,404,LADNER EXCH/BRIGHOUSE STATION, ,3,http://infomaps.translink.ca/Public_Timetables/94/tt404.pdf, , 
22514,CMBC,405,FIVE ROAD/CAMBIE    , ,3,http://infomaps.translink.ca/Public_Timetables/94/tt405.pdf, , 
22515,CMBC,407,GILBERT/BRIDGEPORT, ,3,http://infomaps.translink.ca/Public_Timetables/94/tt407.pdf, , 
22516,CMBC,410,22ND ST STN/QUEENSBOROUGH/RAILWAY, ,3,http://infomaps.translink.ca/Public_Timetables/94/tt410.pdf, , 
22517,CMBC,430,METROTOWN/BRIGHOUSE STATION, ,3,http://infomaps.translink.ca/Public_Timetables/94/tt430.pdf, , 
22518,CMBC,480,UBC/BRIDGEPORT STN          , ,3,http://infomaps.translink.ca/Public_Timetables/94/tt480.pdf, , 
22519,CMBC,501,LANGLEY CENTRE/SURREY CENTRAL STN  , ,3,http://infomaps.translink.ca/Public_Timetables/94/tt501.pdf, , 
22520,CMBC,502,ALDGR/BRKSWD/LANGLEY/SURREY STN, ,3,http://infomaps.translink.ca/Public_Timetables/94/tt502.pdf, , 
22521,CMBC,509,WALNUT GROVE/SURREY CENTRAL STN   , ,3,http://infomaps.translink.ca/Public_Timetables/94/tt509.pdf, , 
22522,CMBC,531,WHITE ROCK CENTRE/WILLOWBROOK, ,3,http://infomaps.translink.ca/Public_Timetables/94/tt531.pdf, , 
22523,CMBC,555,CARVOLTH EXCH / BRAID STN, ,3,http://infomaps.translink.ca/Public_Timetables/94/tt555.pdf, , 
22524,CMBC,590,LANGLEY SOUTH/SURREY CENTRAL STN  , ,3,http://infomaps.translink.ca/Public_Timetables/94/tt590.pdf, , 
22525,CMBC,595,MAPLE MEADOWS STN/LANGLEY CENTRE, ,3,http://infomaps.translink.ca/Public_Timetables/94/tt595.pdf, , 
22526,CMBC,601,SOUTH DELTA/BOUNDARY BAY/BRIDGEPORT, ,3,http://infomaps.translink.ca/Public_Timetables/94/tt601.pdf, , 
22527,CMBC,602,TSAWWASSEN HEIGHTS/BRIDGEPORT , ,3,http://infomaps.translink.ca/Public_Timetables/94/tt602.pdf, , 
22528,CMBC,603,BEACH GROVE/BRIDGEPORT          , ,3,http://infomaps.translink.ca/Public_Timetables/94/tt603.pdf, , 
22529,CMBC,604,ENGLISH BLUFF/BRIDGEPORT, ,3,http://infomaps.translink.ca/Public_Timetables/94/tt604.pdf, , 
