stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
318,50315,EB W BROADWAY FS ALMA ST-,W BROADWAY @ ALMA ST,49.264268,-123.185442,ZN 1, ,0,
320,60725,EB W BROADWAY FS COLLINGWOOD ST,W BROADWAY @ COLLINGWOOD ST,49.264205,-123.181434,ZN 1, ,0,
322,50319,EB W BROADWAY FS MACDONALD ST,W BROADWAY @ MACDONALD ST,49.263974,-123.167726,ZN 1, ,0,
323,50320,EB W BROADWAY FS TRAFALGAR ST,W BROADWAY @ TRAFALGAR ST,49.263931,-123.164202,ZN 1, ,0,
325,50322,EB W BROADWAY FS VINE ST,W BROADWAY @ VINE ST,49.263803,-123.157213,ZN 1, ,0,
326,50323,EB W BROADWAY NS ARBUTUS ST,W BROADWAY @ ARBUTUS ST,49.263730,-123.153154,ZN 1, ,0,
328,50325,EB W BROADWAY FS BURRARD ST,W BROADWAY @ BURRARD ST,49.263601,-123.145333,ZN 1, ,0,
330,50326,EB W BROADWAY FS GRANVILLE ST-,W BROADWAY @ GRANVILLE ST,49.263487,-123.138136,ZN 1, ,0,
331,50327,EB W BROADWAY FS HEMLOCK ST,W BROADWAY @ HEMLOCK ST,49.263458,-123.135642,ZN 1, ,0,
332,50328,EB W BROADWAY FS ALDER ST,W BROADWAY @ ALDER ST,49.263382,-123.130938,ZN 1, ,0,
333,59440,EB W BROADWAY FS OAK ST,W BROADWAY @ OAK ST,49.263309,-123.126188,ZN 1, ,0,
879,50872,EB W BROADWAY FS LAUREL ST,W BROADWAY @ LAUREL ST,49.263258,-123.123754,ZN 1, ,0,
880,50873,EB W BROADWAY FS WILLOW  ST,W BROADWAY @ WILLOW ST,49.263220,-123.121396,ZN 1, ,0,
881,50874,EB W BROADWAY FS HEATHER ST,W BROADWAY @ HEATHER ST,49.263189,-123.119458,ZN 1, ,0,
883,50876,EB W BROADWAY FS ALBERTA ST,W BROADWAY @ ALBERTA ST,49.263043,-123.110512,ZN 1, ,0,
884,59726,EB W BROADWAY NS MANITOBA ST,W BROADWAY @ MANITOBA ST,49.262961,-123.107063,ZN 1, ,0,
886,50879,EB E BROADWAY NS MAIN ST,E BROADWAY @ MAIN ST,49.262833,-123.101294,ZN 1, ,0,
887,50880,EB E BROADWAY NS KINGSWAY,E BROADWAY @ KINGSWAY ST,49.262792,-123.099776,ZN 1, ,0,
779,50772,EB E BROADWAY FS KINGSWAY,E BROADWAY @ KINGSWAY,49.262766,-123.099098,ZN 1, ,0,
780,50773,EB E BROADWAY FS PRINCE EDWARD ST,E BROADWAY @ PRINCE EDWARD ST,49.262466,-123.095640,ZN 1, ,0,
781,50774,EB E BROADWAY FS SAINT GEORGE ST,E BROADWAY @ SAINT GEORGE ST,49.262420,-123.092577,ZN 1, ,0,
890,50883,EB E BROADWAY FS SAINT CATHERINES ST,E BROADWAY @ SAINT CATHERINES ST,49.262369,-123.084852,ZN 1, ,0,
891,50884,EB E BROADWAY FS GLEN DR,E BROADWAY @ GLEN DR,49.262334,-123.080976,ZN 1, ,0,
892,50885,EB E BROADWAY FS CLARK DR-,E BROADWAY @ CLARK DR,49.262299,-123.077126,ZN 1, ,0,
893,50886,EB E BROADWAY FS WOODLAND DR,E BROADWAY @ WOODLAND DR,49.262264,-123.073223,ZN 1, ,0,
2111,58621,SB N GRANDVIEW HWY FS E 8 AV,N GRANDVIEW HWY @ E 8 AVE,49.263043,-123.068329,ZN 1, ,0,
8916,58491,NB COMMERCIAL DR NS N GRANDVIEW HWY,COMMERCIAL DR @ N GRANDVIEW HWY,49.263459,-123.069638,ZN 1, ,0,
9080,58240,EB W BROADWAY FS FIR ST--,W BROADWAY @ FIR ST,49.263508,-123.140182,ZN 1, ,0,
10620,58614,EB E BROADWAY FS FRASER ST,E BROADWAY ST @ FRASER ST,49.262391,-123.088521,ZN 1, ,0,
10651,60726,EB W BROADWAY FS BLENHEIM ST,W BROADWAY @ BLENHEIM ST,49.264141,-123.177368,ZN 1, ,0,
10652,60727,EB W BROADWAY ST FS BALACLAVA ST,W BROADWAY ST @ BALACLAVA ST,49.264077,-123.173559,ZN 1, ,0,
10655,60728,EB W BROADWAY FS BAYSWATER ST,W BROADWAY @ BAYSWATER ST,49.264028,-123.170970,ZN 1, ,0,
2119,52100,EB W BROADWAY NS YUKON ST,W BROADWAY @ YUKON ST,49.263089,-123.113480,ZN 1, ,0,
10980,50321,EB W BROADWAY FS LARCH ST,W BROADWAY @ LARCH ST,49.263874,-123.161902,ZN 1, ,0,
11423,50324,EB W BROADWAY FS MAPLE ST,W BROADWAY @ MAPLE ST,49.263681,-123.150110,ZN 1, ,0,
11596,50878,EB E BROADWAY FS ONTARIO ST,E BROADWAY @ ONTARIO ST,49.262911,-123.104474,ZN 1, ,0,
895,50888,EB E BROADWAY FS VICTORIA DR,E BROADWAY @ VICTORIA DR,49.262203,-123.065484,ZN 1, ,0,
897,50890,EB E BROADWAY FS GARDEN DR,E BROADWAY @ GARDEN DR,49.262147,-123.057742,ZN 1, ,0,
898,50891,EB E BROADWAY FS NANAIMO ST,E BROADWAY @ NANAIMO ST,49.261990,-123.056199,ZN 1, ,0,
899,50892,EB E BROADWAY FS PENTICTON ST,E BROADWAY @ PENTICTON ST,49.261920,-123.051780,ZN 1, ,0,
900,50893,EB E BROADWAY FS SLOCAN ST,E BROADWAY @ SLOCAN ST,49.261917,-123.049178,ZN 1, ,0,
901,50894,EB E BROADWAY FS KASLO ST,E BROADWAY @ KASLO ST,49.261905,-123.046617,ZN 1, ,0,
902,50895,EB E BROADWAY FS RENFREW ST,E BROADWAY @ RENFREW ST,49.261857,-123.043906,ZN 1, ,0,
904,50897,EB E BROADWAY FS NOOTKA ST,E BROADWAY @ NOOTKA ST,49.261837,-123.041168,ZN 1, ,0,
905,50898,EB E BROADWAY FS LILLOOET ST,E BROADWAY @ LILLOOET ST,49.261806,-123.038661,ZN 1, ,0,
906,50899,EB E BROADWAY FS RUPERT ST,E BROADWAY @ RUPERT ST,49.261802,-123.032915,ZN 1, ,0,
907,50900,EB LOUGHEED HWY FS SKEENA ST,LOUGHEED HWY @ SKEENA ST,49.263591,-123.028099,ZN 1, ,0,
908,50901,BOUNDARY LOOP,LOUGHEED HWY @ BOUNDARY LOOP,49.265485,-123.025005,ZN 1, ,0,
896,50889,EB E BROADWAY FS LAKEWOOD DR,E BROADWAY @ LAKEWOOD DR,49.262168,-123.061608,ZN 1, ,0,
11588,52102,EB E BROADWAY FS COMMERCIAL DR,E BROADWAY @ COMMERCIAL DR,49.262239,-123.069384,ZN 1, ,0,
11589,52094,WB E BROADWAY NS COMMERCIAL BAY 1,E BROADWAY @ COMMERCIAL DR,49.262403,-123.069547,ZN 1, ,0,
922,50914,WB E BROADWAY FS WOODLAND DR,E BROADWAY @ WOODLAND DR,49.262435,-123.074064,ZN 1, ,0,
923,50915,WB E BROADWAY FS MCLEAN DR,E BROADWAY @ MCLEAN DR,49.262457,-123.076002,ZN 1, ,0,
924,50916,WB E BROADWAY FS CLARK DR,E BROADWAY @ CLARK DR,49.262470,-123.077968,ZN 1, ,0,
925,50917,WB E BROADWAY NS GLEN DR,E BROADWAY @ GLEN DR,49.262498,-123.081139,ZN 1, ,0,
926,50918,WB E BROADWAY FS WINDSOR ST,E BROADWAY @ WINDSOR ST,49.262518,-123.083728,ZN 1, ,0,
927,50919,WB E BROADWAY FS PRINCE ALBERT ST,E BROADWAY @ PRINCE ALBERT ST,49.262553,-123.087591,ZN 1, ,0,
855,50848,WB E BROADWAY FS SAINT GEORGE ST,E BROADWAY @ SAINT GEORGE ST,49.262591,-123.093419,ZN 1, ,0,
856,50849,WB E BROADWAY FS PRINCE EDWARD ST,E BROADWAY @ PRINCE EDWARD ST,49.262792,-123.096361,ZN 1, ,0,
857,50850,WB E BROADWAY NS SCOTIA ST,E BROADWAY @ SCOTIA ST,49.262913,-123.098706,ZN 1, ,0,
888,50881,WB E BROADWAY FS MAIN ST-,E BROADWAY @ MAIN ST,49.263006,-123.101445,ZN 1, ,0,
928,50920,WB W BROADWAY FS ONTARIO ST,W BROADWAY @ ONTARIO ST,49.263086,-123.105267,ZN 1, ,0,
929,50921,WB W BROADWAY FS COLUMBIA ST,W BROADWAY @ COLUMBIA ST,49.263191,-123.109876,ZN 1, ,0,
932,50924,WB W BROADWAY FS ASH ST,W BROADWAY @ ASH ST,49.263360,-123.118098,ZN 1, ,0,
933,50925,WB W BROADWAY FS HEATHER ST,W BROADWAY @ HEATHER ST,49.263369,-123.120299,ZN 1, ,0,
934,50926,WB W BROADWAY FS WILLOW ST-,W BROADWAY @ WILLOW ST,49.263400,-123.122224,ZN 1, ,0,
467,50463,WB W BROADWAY FS OAK ST,W BROADWAY @ OAK ST,49.263476,-123.127022,ZN 1, ,0,
468,50464,WB W BROADWAY FS SPRUCE ST,W BROADWAY @ SPRUCE ST,49.263514,-123.129408,ZN 1, ,0,
469,50465,WB W BROADWAY FS ALDER ST,W BROADWAY @ ALDER ST,49.263576,-123.131742,ZN 1, ,0,
470,50466,WB W BROADWAY FS HEMLOCK ST,W BROADWAY @ HEMLOCK ST,49.263674,-123.136501,ZN 1, ,0,
545,50540,WB W BROADWAY FS GRANVILLE ST--,W BROADWAY @ GRANVILLE ST,49.263672,-123.140170,ZN 1, ,0,
563,50558,WB W BROADWAY FS BURRARD ST,W BROADWAY @ BURRARD ST,49.263771,-123.146148,ZN 1, ,0,
564,50559,WB W BROADWAY NS MAPLE ST,W BROADWAY @ MAPLE ST,49.263849,-123.150282,ZN 1, ,0,
565,50560,WB W BROADWAY FS ARBUTUS ST-,W BROADWAY @ ARBUTUS ST,49.263894,-123.153318,ZN 1, ,0,
566,50561,WB W BROADWAY FS YEW ST,W BROADWAY @ YEW ST,49.263932,-123.155704,ZN 1, ,0,
567,50562,WB W BROADWAY FS BALSAM ST,W BROADWAY @ BALSAM ST,49.264016,-123.160407,ZN 1, ,0,
568,50563,WB W BROADWAY FS TRAFALGAR ST,W BROADWAY @ TRAFALGAR ST,49.264110,-123.165030,ZN 1, ,0,
569,50564,WB W BROADWAY FS MACDONALD ST,W BROADWAY @ MACDONALD ST,49.264153,-123.168540,ZN 1, ,0,
570,50565,WB W BROADWAY FS BAYSWATER ST,W BROADWAY @ BAYSWATER ST,49.264207,-123.171644,ZN 1, ,0,
571,50566,WB W BROADWAY FS BALACLAVA ST,W BROADWAY @ BALACLAVA ST,49.264243,-123.174382,ZN 1, ,0,
572,50567,WB W BROADWAY FS BLENHEIM ST,W BROADWAY @ BLENHEIM ST,49.264312,-123.178191,ZN 1, ,0,
573,50568,WB W BROADWAY FS COLLINGWOOD ST,W BROADWAY @ COLLINGWOOD ST,49.264380,-123.182244,ZN 1, ,0,
361,50357,SB ALMA ST NS W 10 AV,ALMA ST @ W 10 AVE,49.263757,-123.185999,ZN 1, ,0,
9522,50557,WB W BROADWAY FS PINE ST,W BROADWAY @ PINE ST,49.263734,-123.143640,ZN 1, ,0,
10631,50922,WB W BROADWAY FS YUKON ST,W BROADWAY @ YUKON ST,49.263251,-123.113366,ZN 1, ,0,
11087,58269,WB W BROADWAY NS ASH ST,W BROADWAY @ ASH ST,49.263340,-123.116951,ZN 1, ,0,
909,50902,WB LOUGHEED HWY FS SKEENA ST,LOUGHEED HWY @ SKEENA ST,49.263334,-123.028870,ZN 1, ,0,
910,50903,WB E BROADWAY FS CASSIAR ST,E BROADWAY @ CASSIAR ST,49.262107,-123.031452,ZN 1, ,0,
911,50904,WB E BROADWAY FS RUPERT ST,E BROADWAY @ RUPERT ST,49.261973,-123.034054,ZN 1, ,0,
912,50905,WB E BROADWAY FS WINDERMERE ST,E BROADWAY @ WINDERMERE ST,49.261966,-123.036927,ZN 1, ,0,
915,50907,WB E BROADWAY FS RENFREW ST,E BROADWAY @ RENFREW ST,49.262038,-123.044734,ZN 1, ,0,
916,50908,WB E BROADWAY FS SLOCAN ST,E BROADWAY @ SLOCAN ST,49.262088,-123.049992,ZN 1, ,0,
917,50909,WB E BROADWAY NS PENTICTON ST,E BROADWAY @ PENTICTON ST,49.262083,-123.051958,ZN 1, ,0,
918,50910,WB E BROADWAY FS KAMLOOPS ST,E BROADWAY @ KAMLOOPS ST,49.262102,-123.055102,ZN 1, ,0,
689,50682,WB E BROADWAY FS NANAIMO ST,E BROADWAY @ NANAIMO ST,49.262280,-123.056960,ZN 1, ,0,
919,50911,WB E BROADWAY FS LAKEWOOD DR,E BROADWAY @ LAKEWOOD DR,49.262339,-123.062435,ZN 1, ,0,
920,50912,WB E BROADWAY FS SEMLIN DR,E BROADWAY @ SEMLIN DR,49.262352,-123.064373,ZN 1, ,0,
8277,58044,WB E BROADWAY FS LILLOOET ST,E BROADWAY @ LILLOOET ST,49.261978,-123.039489,ZN 1, ,0,
935,50927,WB W 10 AV NS FIR ST,W 10 AVE @ FIR ST,49.262724,-123.140340,ZN 1, ,0,
9136,58135,SB GRANVILLE ST FS W BROADWAY,GRANVILLE ST @ W BROADWAY,49.263073,-123.138707,ZN 1, ,0,
