Alabama|AL
Alaska|AK
Alberta|AB
American Samoa|AS
Arizona|AZ
Arkansas|AR
British Columbia|BC
California|CA
Colorado|CO
Connecticut|CT
Delaware|DE
District of Columbia|DC
Federated States of Micronesia|FM
Florida|FL
Georgia|GA
Guama|GU
Hawaii|HI
Idaho|ID
Illinois|IL
Indiana|IN
Iowa|IA
Kansas|KS
Kentucky|KY
Louisiana|LA
Maine|ME
Manitoba|MB
Marshall Islands|MH
Maryland|MD
Massachusetts|MA
Michigan|MI
Minnesota|MN
Mississippi|MS
Missouri|MO
Montana|MT
Nebraska|NE
Nevada|NV
NewBrunswick|NB
NewFoundland|NF
NewHampshire|NH
NewJersey|NJ
NewMexico|NM
NewYork|NY
NorthCarolina|NC
NorthDakota|ND
Northern Mariana Islands|MP
Northern Territories|NT
NoState|NS
Ohio|OH
Oklahoma|OK
Ontario|ON
Oregon|OR
Palau|PW
Pennsylvania|PA
Prince Edward Island|PE
Puerto Rico|PR
Quebec|PQ
Rhode Island|RI
Saskatchewan|SK
South Carolina|SC
South Dakota|SD
Tennessee|TN
Texas|TX
Utah|UT
Vermont|VT
Virgin Islands|VI
Virginia|VA
Washington|WA
West Virginia|WV
Wisconsin|WI
Wyoming|WY
Yukon|YU
